match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8807789446,7402361277,False,1778566368,1215,0,23,31,3,151,"[86, 74, 145, 97, 84]","[60, 5, 25, 12, 9]"
8807789444,7402363168,False,1778566368,1400,7,22,24,4,183,"[14, 1, 85, 90, 28]","[12, 91, 97, 8, 71]"
8807789443,7402361851,True,1778566368,1298,0,23,45,4,171,"[15, 48, 107, 108, 64]","[106, 96, 29, 87, 13]"
8807789441,7402362967,False,1778566363,1368,0,22,31,3,152,"[99, 39, 53, 2, 93]","[62, 106, 104, 105, 11]"
8807789427,7402364004,True,1778566363,1524,7,22,25,7,227,"[25, 8, 42, 7, 101]","[84, 44, 119, 120, 39]"
8807789422,7402365249,False,1778566353,1745,0,23,54,1,185,"[56, 23, 93, 25, 74]","[35, 129, 26, 110, 88]"
8807789415,7402360767,True,1778566363,1145,0,23,23,2,186,"[44, 2, 74, 26, 35]","[47, 131, 17, 11, 27]"
8807789413,7402361527,True,1778566358,1253,0,23,32,3,153,"[72, 6, 40, 62, 2]","[45, 68, 30, 101, 67]"
8807789411,7402362335,True,1778566353,1372,0,23,42,3,117,"[12, 44, 68, 119, 84]","[30, 74, 20, 1, 107]"
8807789410,7402360551,True,1778566353,1123,0,23,33,4,227,"[26, 1, 8, 27, 85]","[68, 91, 94, 62, 22]"
8807789402,7402363194,True,1778566363,1470,0,23,62,2,410,"[12, 112, 1, 14, 6]","[27, 49, 121, 18, 5]"
8807789401,7402365881,False,1778566358,1841,0,23,54,2,227,"[44, 121, 47, 99, 37]","[20, 72, 17, 86, 96]"
8807789395,7402364429,False,1778566363,1646,0,23,22,2,185,"[91, 10, 137, 26, 138]","[35, 103, 45, 41, 53]"
8807789393,7402364324,False,1778566358,1563,7,22,21,5,184,"[2, 74, 120, 44, 104]","[113, 30, 29, 45, 67]"
8807789384,7402361766,False,1778566333,1274,0,23,24,1,145,"[72, 35, 75, 120, 79]","[63, 21, 44, 2, 111]"
8807789379,7402360999,False,1778566358,1181,0,23,43,5,151,"[31, 25, 14, 114, 84]","[62, 54, 80, 60, 26]"
8807789377,7402365903,True,1778566348,1760,7,22,43,5,227,"[71, 53, 54, 39, 105]","[93, 26, 42, 1, 91]"
8807789367,7402366662,True,1778566358,1950,0,23,53,4,122,"[63, 86, 97, 40, 98]","[5, 49, 47, 9, 20]"
8807789357,7402364147,True,1778566343,1501,7,22,15,1,185,"[7, 75, 61, 64, 67]","[36, 47, 128, 14, 6]"
8807789349,7402364269,True,1778566353,1631,0,23,22,2,153,"[93, 135, 22, 128, 86]","[5, 27, 8, 76, 29]"
8807789332,7402362478,False,1778566353,1416,0,23,32,4,181,"[84, 41, 106, 25, 34]","[26, 73, 97, 128, 22]"
8807789328,7402363971,False,1778566343,1591,0,23,64,4,123,"[50, 25, 71, 44, 63]","[84, 22, 8, 97, 35]"
8807789319,7402365316,True,1778566348,1658,7,22,41,1,122,"[30, 97, 42, 40, 36]","[55, 31, 74, 1, 98]"
8807789303,7402363002,False,1778566338,1467,0,23,32,4,410,"[75, 20, 86, 48, 30]","[63, 23, 67, 22, 6]"
8807789282,7402361137,False,1778566348,1222,0,23,12,1,181,"[86, 6, 87, 47, 114]","[90, 59, 2, 74, 21]"
8807789279,7402361097,True,1778566348,1193,0,23,25,6,185,"[31, 54, 26, 71, 84]","[46, 2, 27, 75, 97]"
8807789262,7402366133,True,1778566338,1895,0,23,42,3,185,"[9, 21, 7, 86, 35]","[11, 63, 26, 6, 27]"
8807789254,7402361693,True,1778566343,1283,0,23,31,2,181,"[14, 105, 93, 11, 58]","[45, 15, 25, 3, 71]"
8807789249,7402365059,True,1778566343,1681,7,22,62,3,153,"[43, 99, 93, 7, 105]","[106, 14, 17, 54, 27]"
8807789241,7402362937,True,1778566323,1453,0,23,54,2,412,"[14, 95, 2, 26, 43]","[18, 22, 74, 40, 35]"
8807789234,7402363451,True,1778566343,1416,0,23,45,4,152,"[35, 22, 12, 20, 21]","[131, 88, 45, 40, 10]"
8807789233,7402364114,False,1778566343,1625,0,23,44,1,152,"[63, 119, 81, 9, 135]","[68, 47, 99, 48, 8]"
8807789226,7402362644,False,1778566338,1415,0,23,35,5,152,"[33, 25, 123, 55, 54]","[76, 48, 53, 84, 28]"
8807789222,7402361929,False,1778566343,1338,0,23,33,1,413,"[7, 108, 32, 101, 123]","[100, 31, 44, 73, 42]"
8807789211,7402361558,False,1778566338,1259,0,23,61,5,153,"[71, 48, 22, 21, 27]","[106, 93, 112, 75, 84]"
8807789193,7402361118,True,1778566338,1228,0,23,41,3,423,"[128, 99, 5, 107, 71]","[40, 47, 44, 114, 21]"
8807789186,7402365455,False,1778566338,1780,0,23,52,3,381,"[30, 23, 39, 14, 67]","[8, 2, 35, 71, 5]"
8807789185,7402359112,True,1778566333,944,0,23,15,1,181,"[7, 64, 26, 99, 77]","[44, 74, 66, 47, 95]"
8807789174,7402360985,False,1778566328,1223,0,23,41,2,201,"[100, 6, 5, 91, 53]","[30, 81, 13, 85, 40]"
8807789169,7402366165,False,1778566333,1828,7,22,35,1,185,"[82, 101, 5, 129, 8]","[71, 35, 95, 111, 14]"
8807789148,7402362070,False,1778566333,1358,0,23,31,1,186,"[35, 29, 84, 50, 44]","[8, 105, 5, 68, 64]"
8807789131,7402363918,True,1778566328,1611,0,23,12,1,225,"[26, 7, 104, 43, 6]","[42, 60, 68, 35, 137]"
8807789130,7402361936,False,1778566323,1345,0,23,13,2,272,"[5, 29, 145, 111, 31]","[67, 112, 25, 14, 70]"
8807789129,7402365305,True,1778566323,1795,0,23,53,2,153,"[25, 74, 31, 80, 14]","[86, 40, 108, 35, 84]"
8807789128,7402366205,True,1778566318,1855,7,22,25,5,182,"[36, 14, 39, 86, 38]","[41, 111, 26, 53, 120]"
8807789120,7402363698,False,1778566328,1582,0,23,24,3,153,"[106, 84, 56, 114, 14]","[87, 44, 101, 19, 29]"
8807789111,7402361516,True,1778566328,1296,0,23,14,1,182,"[49, 36, 53, 90, 40]","[32, 11, 26, 88, 34]"
