match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,role_Carry_radiant,role_Carry_dire,role_Disabler_radiant,role_Disabler_dire,role_Durable_radiant,role_Durable_dire,role_Escape_radiant,role_Escape_dire,role_Initiator_radiant,role_Initiator_dire,role_Nuker_radiant,role_Nuker_dire,role_Pusher_radiant,role_Pusher_dire,role_Support_radiant,role_Support_dire,attr_agi_radiant,attr_agi_dire,attr_all_radiant,attr_all_dire,attr_int_radiant,attr_int_dire,attr_str_radiant,attr_str_dire,attr_unknown_radiant,attr_unknown_dire,radiant_win_rate
8806517719,7401306367,True,1778482980,963,0,23,41,3,227,0.8,0.6,0.8,0.6,0.4,0.2,0.2,0.4,0.4,0.2,0.4,0.8,0.4,0.0,0.2,0.4,0.2,0.4,0.2,0.0,0.2,0.6,0.4,0.0,0.0,0.0,1
8806517619,7401307974,False,1778482980,1182,0,23,72,4,183,0.6,0.4,0.4,0.8,0.2,0.6,0.4,0.4,0.4,0.4,0.8,0.8,0.2,0.4,0.2,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.0,0.0,0
8806517574,7401302596,False,1778482980,481,0,23,55,1,152,0.6,0.8,0.8,0.8,0.2,0.2,0.6,0.8,0.6,0.2,1.0,0.6,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0
8806517506,7401305109,True,1778482965,879,0,23,65,1,182,0.4,0.6,0.8,0.4,0.2,0.4,0.2,0.0,0.4,0.2,0.8,0.8,0.2,0.2,0.6,0.4,0.2,0.4,0.0,0.0,0.6,0.4,0.2,0.2,0.0,0.0,1
8806517452,7401307595,True,1778482965,1165,0,23,14,1,182,0.8,0.6,0.6,0.8,0.2,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.2,0.0,0.0,0.2,0.8,0.0,0.0,0.2,0.0,0.4,0.2,0.4,0.0,0.0,1
8806517411,7401306258,False,1778482965,1016,0,23,35,4,181,0.4,0.4,0.6,0.8,0.2,0.2,1.0,0.6,0.2,0.6,0.8,0.6,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.0,0.4,0.4,0.2,0.0,0.0,0
8806517396,7401307581,False,1778482960,1161,0,23,12,1,183,0.8,1.0,0.4,0.8,0.4,0.6,0.6,0.6,0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.4,0.6,0.4,0.0,0.2,0.0,0.0,0.4,0.4,0.0,0.0,0
8806517386,7401307820,False,1778482960,1192,0,23,55,7,182,0.8,0.6,0.8,1.0,0.2,0.4,0.4,0.2,0.2,0.6,0.8,0.8,0.2,0.0,0.2,0.4,0.2,0.2,0.0,0.2,0.6,0.4,0.2,0.2,0.0,0.0,0
8806517371,7401308586,False,1778482955,1278,0,23,63,7,151,1.0,0.6,0.6,0.4,0.4,0.4,0.6,0.4,0.0,0.4,0.8,0.6,0.2,0.2,0.0,0.2,0.6,0.2,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0
8806517333,7401307111,True,1778482955,1119,0,23,34,4,181,0.6,0.8,0.6,0.6,0.2,0.4,0.6,0.4,0.2,0.6,0.8,0.8,0.4,0.2,0.2,0.4,0.4,0.4,0.0,0.0,0.4,0.4,0.2,0.2,0.0,0.0,1
8806517321,7401307736,True,1778482950,1185,0,23,23,4,182,0.6,0.6,0.6,1.0,0.0,0.6,0.8,0.4,0.4,0.8,0.4,0.6,0.0,0.2,0.4,0.4,0.8,0.2,0.0,0.2,0.2,0.0,0.0,0.6,0.0,0.0,1
8806517320,7401308010,True,1778482940,1222,0,23,32,4,151,0.6,0.8,0.8,0.6,0.2,0.4,0.6,0.4,0.2,0.2,0.8,0.6,0.4,0.4,0.2,0.0,0.2,0.6,0.6,0.0,0.2,0.2,0.0,0.2,0.0,0.0,1
8806517303,7401306989,True,1778482950,1091,0,23,15,1,185,0.8,0.6,0.4,0.8,0.6,0.6,0.0,0.6,0.2,0.4,1.0,0.4,0.4,0.2,0.0,0.4,0.2,0.2,0.2,0.0,0.4,0.4,0.2,0.4,0.0,0.0,1
8806517290,7401308501,False,1778482950,1264,0,23,24,1,187,0.4,0.6,0.8,0.6,0.4,0.2,0.2,0.4,0.6,0.2,0.6,0.6,0.2,0.4,0.6,0.4,0.2,0.2,0.0,0.0,0.4,0.6,0.4,0.2,0.0,0.0,0
